"Product_Collection","Vertical_Segment","Processor_Number","Status","Lithography","Recommended_Customer_Price","nb_of_Cores","nb_of_Threads","Processor_Base_Frequency","Max_Turbo_Frequency","Cache","Bus_Speed","TDP","Embedded_Options_Available","Conflict_Free","Max_Memory_Size","Memory_Types","Max_nb_of_Memory_Channels","Max_Memory_Bandwidth","ECC_Memory_Supported","Processor_Graphics_","Graphics_Base_Frequency","Graphics_Max_Dynamic_Frequency","Graphics_Video_Max_Memory","Graphics_Output","Support_4k","Max_Resolution_HDMI","Max_Resolution_DP","Max_Resolution_eDP_Integrated_Flat_Panel","DirectX_Support","OpenGL_Support","PCI_Express_Revision","PCI_Express_Configurations_","Max_nb_of_PCI_Express_Lanes","T","Intel_Hyper_Threading_Technology_","Intel_Virtualization_Technology_VTx_","Intel_64_","Instruction_Set","Instruction_Set_Extensions","Idle_States","Thermal_Monitoring_Technologies","Secure_Key","Execute_Disable_Bit","Launch_Year","price_per_core","price_per_thread"
"Intel® Itanium® Processor 9000 Series","Server","9020","End of Life","90 nm",303,2,4,1.42,3.3,12,"533 MHz FSB",104,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"76°C","No","Yes","No","Itanium 64-bit","","No","","","No",2013,151.5,75.75
"Intel® Itanium® Processor 9000 Series","Server","9030","End of Life","90 nm",303,2,4,1.6,3.3,8,"533 MHz FSB",104,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"76°C","No","Yes","No","Itanium 64-bit","","No","","","No",2013,151.5,75.75
"Intel® Itanium® Processor 9000 Series","Server","9040","End of Life","90 nm",303,2,4,1.6,3.3,18,"533 MHz FSB",104,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"76°C","No","Yes","No","Itanium 64-bit","","No","","","No",2013,151.5,75.75
"Intel® Itanium® Processor 9000 Series","Server","9050","End of Life","90 nm",303,2,4,1.6,3.3,24,"533 MHz FSB",104,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"76°C","No","Yes","No","Itanium 64-bit","","No","","","No",2013,151.5,75.75
"Intel® Itanium® Processors with 400 MHz FSB","Server","","End of Life","130 nm",303,1,4,1,3.3,3,"400 MHz FSB",100,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"85°C","No","No","No","Itanium 64-bit","","No","","","No",2013,303,75.75
"Intel® Itanium® Processors with 400 MHz FSB","Server","","End of Life","130 nm",303,1,4,1.3,3.3,3,"400 MHz FSB",97,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"83°C","No","No","No","Itanium 64-bit","","No","","","No",2013,303,75.75
"Intel® Itanium® Processors with 400 MHz FSB","Server","","End of Life","130 nm",303,1,4,1.4,3.3,4,"400 MHz FSB",91,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"83°C","No","No","No","Itanium 64-bit","","No","","","No",2013,303,75.75
"Intel® Itanium® Processors with 400 MHz FSB","Server","","End of Life","130 nm",303,1,4,1.5,3.3,4,"400 MHz FSB",107,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"83°C","No","No","No","Itanium 64-bit","","No","","","No",2013,303,75.75
"Intel® Itanium® Processors with 400 MHz FSB","Server","","End of Life","130 nm",303,1,4,1.5,3.3,6,"400 MHz FSB",107,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"83°C","No","No","No","Itanium 64-bit","","No","","","No",2013,303,75.75
"Intel® Itanium® Processors with 533 MHz FSB","Server","","End of Life","130 nm",303,1,4,1.6,3.3,9,"533 MHz FSB",122,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"83°C","No","No","No","Itanium 64-bit","","No","","","No",2013,303,75.75
"Intel® Itanium® Processors with 677 MHz FSB","Server","","End of Life","130 nm",303,1,4,1.66,3.3,9,"667 MHz FSB",122,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"83°C","No","No","No","Itanium 64-bit","","No","","","No",2013,303,75.75
"Intel® Atom™ Processor C Series","Server","C2350","Launched","22 nm",43,2,2,1.7,2,1,"",6,"No","Yes","16 GB","DDR3/DDR3L 1333",1,"10.7 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"2","x1,x2,x4",4,"98°C ","No","Yes","","64-bit","","","","","",2013,21.5,21.5
"Intel® Atom™ Processor C Series","Embedded","C2516","Launched","22 nm",64,4,4,1.4,3.3,2,"",10,"No","Yes","32 GB","DDR 1333",2,"","Yes",NA,"","","","",NA,"","","","",NA,"2","",8,"100C","No","Yes","Yes","","","","","","Yes",2017,16,16
"Intel® Atom™ Processor C Series","Server","C2530","Launched","22 nm",70,4,4,1.7,2.4,2,"",9,"No","Yes","32 GB","DDR3/DDR3L 1333",2,"21.3 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"2","x1,x2,x4,x8",8,"97°C","No","Yes","","64-bit","","","","","",2013,17.5,17.5
"Intel® Atom™ Processor C Series","Server","C2550","Launched","22 nm",86,4,4,2.4,2.6,2,"",14,"No","Yes","64 GB","DDR3/DDR3L 1600",2,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"2","x1,x2,x4,x8,x16",16,"96°C ","No","Yes","","64-bit","","","","","",2013,21.5,21.5
"Intel® Atom™ Processor C Series","Server","C2730","Launched","22 nm",150,8,8,1.7,2.4,4,"",12,"No","Yes","32 GB","DDR3/DDR3L 1600",2,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"2","x1,x2,x4,x8",8,"97°C","No","Yes","","64-bit","","","","","",2013,18.75,18.75
"Intel® Atom™ Processor C Series","Server","C2750","Launched","22 nm",171,8,8,2.4,2.6,4,"",20,"No","Yes","64 GB","DDR3/DDR3L 1600",2,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"2","x1,x2,x4,x8,x16",16,"97°C","No","Yes","","64-bit","","","","","",2013,21.375,21.375
"Intel® Atom™ Processor C Series","Embedded","C2308","Launched","22 nm",60,2,2,1.25,3.3,1,"",6,"Yes","Yes","16 GB","DDR 1333",1,"","Yes",NA,"","","","",NA,"","","","",NA,"2","",4,"100C","No","Yes","Yes","","","","","","Yes",2014,30,30
"Intel® Atom™ Processor C Series","Embedded","C2338","Launched","22 nm",60,2,2,1.7,2,1,"",7,"Yes","Yes","16 GB","DDR3/DDR3L 1333",1,"","Yes",NA,"","","","",NA,"","","","",NA,"2","x1,x2",8,"","No","Yes","Yes","64-bit","","","","","Yes",2013,30,30
"Intel® Atom™ Processor C Series","Embedded","C2358","Launched","22 nm",60,2,2,1.7,2,1,"",7,"Yes","Yes","16 GB","DDR3/DDR3L 1333",1,"","Yes",NA,"","","","",NA,"","","","",NA,"2","x1,x2",8,"","No","Yes","Yes","64-bit","","","","","Yes",2013,30,30
"Intel® Atom™ Processor C Series","Embedded","C2508","Launched","22 nm",98,4,4,1.25,3.3,2,"",9.5,"Yes","Yes","32 GB","DDR3 1333",2,"","Yes",NA,"","","","",NA,"","","","",NA,"2","",8,"100C","No","Yes","Yes","","","","","","Yes",2014,24.5,24.5
"Intel® Atom™ Processor C Series","Embedded","C2518","Launched","22 nm",91,4,4,1.7,3.3,2,"",13,"Yes","Yes","32 GB","DDR3/DDR3L 1333",2,"","Yes",NA,"","","","",NA,"","","","",NA,"2","x1,x2,x4,x8,x16",16,"","No","Yes","Yes","64-bit","","","","","Yes",2013,22.75,22.75
"Intel® Atom™ Processor C Series","Embedded","C2538","Launched","22 nm",104,4,4,2.4,3.3,2,"",15,"Yes","Yes","64 GB","DDR3/DDR3L 1600",2,"","Yes",NA,"","","","",NA,"","","","",NA,"2","x1,x2,x4,x8,x16",16,"","No","Yes","Yes","64-bit","","","","","Yes",2013,26,26
"Intel® Atom™ Processor C Series","Embedded","C2558","Launched","22 nm",104,4,4,2.4,3.3,2,"",15,"Yes","Yes","64 GB","DDR3/DDR3L 1600",2,"","Yes",NA,"","","","",NA,"","","","",NA,"2","x1,x2,x4,x8,x16",16,"","No","Yes","Yes","64-bit","","","","","Yes",2013,26,26
"Intel® Atom™ Processor C Series","Embedded","C2718","Launched","22 nm",182,8,8,2,3.3,4,"",18,"Yes","Yes","32 GB","DDR3/DDR3L 1333",2,"","Yes",NA,"","","","",NA,"","","","",NA,"2","x1,x2,x4,x8,x16",16,"","No","Yes","Yes","64-bit","","","","","Yes",2013,22.75,22.75
"Intel® Atom™ Processor C Series","Embedded","C2758","Launched","22 nm",208,8,8,2.4,3.3,4,"",20,"Yes","Yes","64 GB","DDR3/DDR3L 1600",2,"","Yes",NA,"","","","",NA,"","","","",NA,"2","x1, x2, x4, x8, x16",16,"","No","Yes","Yes","64-bit","","","","","Yes",2013,26,26
"Intel® Atom™ Processor C Series","Embedded","C2738","Launched","22 nm",208,8,8,2.4,3.3,4,"",20,"Yes","Yes","64 GB","DDR3/DDR3L 1600",2,"","Yes",NA,"","","","",NA,"","","","",NA,"2","x1, x2, x4, x8, x16",16,"","No","Yes","Yes","64-bit","","","","","Yes",2013,26,26
"Intel® Atom™ Processor C Series","Server","C3958","Launched","14 nm",449,16,16,2,2,16,"",31,"Yes","Yes","256 GB","DDR4: 2400",2,"","Yes",NA,"","","","",NA,"","","","",NA,"3","x2,x4,x8",16,"83°C,100°C","No","Yes","","64-bit","","","","No","Yes",2017,28.0625,28.0625
"Intel® Atom™ Processor C Series","Server","C3955","Launched","14 nm",434,16,16,2.1,2.4,16,"",32,"No","Yes","256 GB","DDR4: 2400",2,"","Yes",NA,"","","","",NA,"","","","",NA,"3","x2,x4,x8",16,"78°C,100°C","No","Yes","","64-bit","","","","No","Yes",2017,27.125,27.125
"Intel® Atom™ Processor C Series","Server","C3950","Launched","14 nm",389,16,16,1.7,2.2,16,"",24,"No","Yes","256 GB","DDR4: 2400",2,"","Yes",NA,"","","","",NA,"","","","",NA,"3","x2,x4,x8",16,"78°C,100°C","No","Yes","","64-bit","","","","No","Yes",2017,24.3125,24.3125
"Intel® Atom™ Processor C Series","Server","C3830","Launched","14 nm",289,12,12,1.9,2.3,12,"",21.5,"No","Yes","256 GB","DDR4: 2133",2,"","Yes",NA,"","","","",NA,"","","","",NA,"3","x2,x4,x8",12,"85°C,100°C","No","Yes","","64-bit","","","","No","Yes",2017,24.0833333333333,24.0833333333333
"Intel® Atom™ Processor C Series","Server","C3858","Launched","14 nm",332,12,12,2,2,12,"",25,"Yes","Yes","256 GB","DDR4: 2400",2,"","Yes",NA,"","","","",NA,"","","","",NA,"3","x2,x4,x8",16,"83°C,100°C","No","Yes","","64-bit","","","","No","Yes",2017,27.6666666666667,27.6666666666667
"Intel® Atom™ Processor C Series","Server","C3850","Launched","14 nm",323,12,12,2.1,2.4,12,"",25,"No","Yes","256 GB","DDR4: 2400",2,"","Yes",NA,"","","","",NA,"","","","",NA,"3","x2,x4,x8",16,"78°C,100°C","No","Yes","","64-bit","","","","No","Yes",2017,26.9166666666667,26.9166666666667
"Intel® Atom™ Processor C Series","Server","C3808","Launched","14 nm",369,12,12,2,2,12,"",25,"Yes","Yes","256 GB","DDR4: 2133",2,"","Yes",NA,"","","","",NA,"","","","",NA,"3","x2,x4,x8",16,"86°C,100°C","No","Yes","","64-bit","","","","No","Yes",2017,30.75,30.75
"Intel® Atom™ Processor C Series","Server","C3758","Launched","14 nm",193,8,8,2.2,2.2,16,"",25,"Yes","Yes","256 GB","DDR4: 2400",2,"","Yes",NA,"","","","",NA,"","","","",NA,"3","x2,x4,x8",16,"82°C,100°C","No","Yes","","64-bit","","","","No","Yes",2017,24.125,24.125
"Intel® Atom™ Processor C Series","Server","C3750","Launched","14 nm",171,8,8,2.2,2.4,16,"",21,"No","Yes","256 GB","DDR4: 2400",2,"","Yes",NA,"","","","",NA,"","","","",NA,"3","x2,x4,x8",12,"84°C,100°C","No","Yes","","64-bit","","","","No","Yes",2017,21.375,21.375
"Intel® Atom™ Processor C Series","Server","C3708","Launched","14 nm",209,8,8,1.7,1.7,16,"",17,"Yes","Yes","256 GB","DDR4: 2133",2,"","Yes",NA,"","","","",NA,"","","","",NA,"3","x2,x4,x8",16,"85°C,100°C","No","Yes","","64-bit","","","","No","Yes",2017,26.125,26.125
"Intel® Atom™ Processor C Series","Server","C3558","Launched","14 nm",86,4,4,2.2,2.2,8,"",16,"Yes","Yes","256 GB","DDR4: 2133",2,"","Yes",NA,"","","","",NA,"","","","",NA,"3","x2,x4,x8",12,"83°C,100°C","No","Yes","","64-bit","","","","No","Yes",2017,21.5,21.5
"Intel® Atom™ Processor C Series","Server","C3538","Launched","14 nm",75,4,4,2.1,2.1,8,"",15,"Yes","Yes","256 GB","DDR4: 2133",2,"","Yes",NA,"","","","",NA,"","","","",NA,"3","x2,x4,x8",12,"87°C,100°C","No","Yes","","64-bit","","","","No","Yes",2017,18.75,18.75
"Intel® Atom™ Processor C Series","Server","C3508","Launched","14 nm",86,4,4,1.6,1.6,8,"",11.5,"Yes","Yes","256 GB","DDR4: 1866",2,"","Yes",NA,"","","","",NA,"","","","",NA,"3","x2,x4,x8",8,"90°C,100°C","No","Yes","","64-bit","","","","No","Yes",2017,21.5,21.5
"Intel® Atom™ Processor C Series","Server","C3338","Launched","14 nm",27,2,2,1.5,2.2,4,"",9,"Yes","Yes","128 GB","DDR4: 1866",1,"","Yes",NA,"","","","",NA,"","","","",NA,"3","x2,x4,x8",10,"89°C,100°C","No","Yes","","64-bit","","","","No","Yes",2017,13.5,13.5
"Intel® Atom™ Processor C Series","Server","C3308","Launched","14 nm",32,2,2,1.6,2.1,4,"",9.5,"Yes","Yes","128 GB","DDR4: 1866",1,"","Yes",NA,"","","","",NA,"","","","",NA,"3","x2,x4",6,"89°C,100°C","No","Yes","","64-bit","","","","No","Yes",2017,16,16
"Intel® Atom™ Processor D Series","Desktop","D2550","End of Interactive Support","32 nm",47,2,4,1.86,3.3,1,"",10,"Yes","Yes","4 GB","DDR3 800/1066 ",1,"6.4 GB/s","No",NA,"640 MHz","","","",NA,"","","","",NA,"","",4,"100 C","Yes","No","Yes","64-bit","SSE2, SSE3, SSSE3","","","","",2012,23.5,11.75
"Intel® Atom™ Processor D Series","Desktop","D2700","End of Interactive Support","32 nm",303,2,4,2.13,3.3,1,"2.5 GT/s DMI",10,"No","","4 GB","DDR3 800/1066 ",1,"6.4 GB/s","No",NA,"640 MHz","","","",NA,"","","","",NA,"","",4,"100 C","Yes","No","Yes","64-bit","SSE2, SSE3, SSSE3","","","","Yes",2011,151.5,75.75
"Intel® Atom™ Processor E Series","Embedded","E3815","Launched","22 nm",31,1,1,1.46,3.3,0.5,"",5,"Yes","Yes","8 GB","DDR3L 1067",1,"","Yes",NA,"400 MHz","","","",NA,"","","","",NA,"2","x4, x2, x1",4,"-40°C to 110°C","No","Yes","Yes","64-bit","","","","","Yes",2013,31,31
"Intel® Atom™ Processor E Series","Embedded","E3825","Launched","22 nm",34,2,2,1.33,3.3,1,"",6,"Yes","Yes","8 GB","DDR3L 1067",1,"","Yes",NA,"533 MHz","","","",NA,"","","","",NA,"2","x4, x2, x1",4,"-40°C to 110°C","No","Yes","Yes","64-bit","","","","","Yes",2013,17,17
"Intel® Atom™ Processor E Series","Embedded","E3826","Launched","22 nm",37,2,2,1.46,3.3,1,"",7,"Yes","Yes","8 GB","DDR3L 1067",2,"","Yes",NA,"533 MHz","","","",NA,"","","","",NA,"2","x4, x2, x1",4,"-40°C to 110°C","No","Yes","Yes","64-bit","","","","","Yes",2013,18.5,18.5
"Intel® Atom™ Processor E Series","Embedded","E3827","Launched","22 nm",41,2,2,1.75,3.3,1,"",8,"Yes","Yes","8 GB","DDR3L 1333",2,"","Yes",NA,"542 MHz","","","",NA,"","","","",NA,"2","x4, x2, x1",4,"-40°C to 110°C","No","Yes","Yes","64-bit","","","","","Yes",2013,20.5,20.5
"Intel® Atom™ Processor E Series","Embedded","E3845","Launched","22 nm",52,4,4,1.91,3.3,2,"",10,"Yes","Yes","8 GB","DDR3L 1333",2,"","Yes",NA,"542 MHz","","","",NA,"","","","",NA,"2","x4, x2, x1",4,"-40°C to 110°C","No","Yes","Yes","64-bit","","","","","Yes",2013,13,13
"Intel® Atom™ Processor N Series","Mobile","N2800","Launched","32 nm",47,2,4,1.86,3.3,1,"2.5 GT/s DMI",6.5,"Yes","Yes","4.88 GB","DDR3",1,"","",NA,"640 MHz","","","",NA,"","","","",NA,"","",NA,"","Yes","No","Yes","64-bit","SSE2, SSE3, SSSE3","","Yes","","Yes",2011,23.5,11.75
"Intel® Atom™ Processor S Series","Server","S1220","End of Life","32 nm",54,2,4,1.6,3.3,1,"",8.1,"No","Yes","8 GB","DDR3 1333",1,"10.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"2","",8,"","Yes","Yes","","64-bit","","","","","",2012,27,13.5
"Intel® Atom™ Processor S Series","Server","S1240","End of Life","32 nm",64,2,4,1.6,3.3,1,"",6.1,"No","Yes","8 GB","DDR3 1333",1,"10.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"2","",8,"","Yes","Yes","","64-bit","","","","","",2012,32,16
"Intel® Atom™ Processor S Series","Server","S1260","End of Life","32 nm",303,2,4,2,3.3,1,"",8.5,"No","Yes","8 GB","DDR3 1333",1,"10.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"2","",8,"","Yes","Yes","","64-bit","","","","","",2012,151.5,75.75
"Intel® Atom™ Processor S Series","Server","S1269","Launched","32 nm",80,2,4,1.6,3.3,1,"",11.7,"Yes","Yes","8 GB","DDR3 1333",1,"","Yes",NA,"","","","",NA,"","","","",NA,"2","",32,"","Yes","Yes","","64-bit","","","","","",2013,40,20
"Intel® Atom™ Processor S Series","Server","S1279","Launched","32 nm",103,2,4,1.6,3.3,1,"",13.1,"Yes","Yes","8 GB","DDR3 1333",1,"","Yes",NA,"","","","",NA,"","","","",NA,"2","",40,"","Yes","Yes","","64-bit","","","","","",2013,51.5,25.75
"Intel® Atom™ Processor S Series","Server","S1289","Launched","32 nm",120,2,4,2,3.3,1,"",14.1,"Yes","Yes","8 GB","DDR3 1333",1,"","Yes",NA,"","","","",NA,"","","","",NA,"2","",40,"","Yes","Yes","","64-bit","","","","","",2013,60,30
"Intel® Atom™ Processor X Series","Mobile","x3-C3130","Announced","28 nm",303,2,2,1,3.3,0.5,"",47,"No","Yes","1 GB","1x32 LPDDR2 800",1,"3.2 GB/s","",NA,"480 MHz","","","MIPI DSI",NA,"","","1280x800","",NA,"","",NA,"","","","","64-bit","","","","","",2015,151.5,151.5
"Intel® Atom™ Processor X Series","Mobile","x3-C3200RK","Launched","28 nm",303,4,4,2.26,3.3,1,"",47,"No","Yes","2 GB","1x32 LPDDR2/3 1066 2x16 DDR3L 1333",1,"4.2 GB/s","",NA,"600 MHz","","","MIPI DSI",NA,"","","up to 1920x1080","",NA,"","",NA,"","","","","64-bit","","","","","",2015,75.75,75.75
"Intel® Atom™ Processor X Series","Mobile","x3-3205RK","Launched","28 nm",303,4,4,2.26,3.3,1,"",47,"Yes","Yes","2 GB","1x32 LPDDR2/3 1066 2x16 DDR3L 1333",1,"4.2 GB/s","",NA,"600 MHz","","","MIPI DSI",NA,"","","up to 1920x1080","",NA,"","",NA,"","","","","64-bit","","","","","",2016,75.75,75.75
"Intel® Atom™ Processor X Series","Mobile","x3-C3230RK","Launched","28 nm",303,4,4,2.26,3.3,1,"",47,"No","Yes","2 GB","1x32 LPDDR2/3 1066 2x16 DDR3L 1333",1,"4.2 GB/s","",NA,"600 MHz","","","MIPI DSI",NA,"","","up to 1920x1080","",NA,"","",NA,"","","","","64-bit","","","","","",2015,75.75,75.75
"Intel® Atom™ Processor X Series","Mobile","x3-C3235RK","Launched","28 nm",303,4,4,2.26,3.3,1,"",47,"No","Yes","2 GB","1x32 LPDDR2/3 1066 2x16 DDR3L 1333",1,"4.2 GB/s","",NA,"600 MHz","","","MIPI DSI",NA,"","","up to 1920x1080","",NA,"","",NA,"","","","","64-bit","","","","","",2015,75.75,75.75
"Intel® Atom™ Processor X Series","Mobile","x3-C3295RK","Launched","28 nm",303,4,4,2.26,3.3,1,"",47,"No","Yes","2 GB","1x32 LPDDR2/3 1066 2x16 DDR3L 1333",1,"4.2 GB/s","",NA,"600 MHz","","","MIPI DSI",NA,"","","up to 1920x1080","",NA,"","",NA,"","","","","64-bit","","","","","",2016,75.75,75.75
"Intel® Atom™ Processor X Series","Mobile","x3-C3265RK","Launched","28 nm",303,4,4,2.26,3.3,1,"",47,"Yes","Yes","2 GB","1x32 LPDDR2/3 1066 2x16 DDR3L 1333",1,"4.2 GB/s","",NA,"600 MHz","","","MIDI DSI",NA,"","","up to 1920x1080","",NA,"","",NA,"","","","","64-bit","","","","","",2016,75.75,75.75
"Intel® Atom™ Processor X Series","Mobile","x3-C3405","Announced","28 nm",303,4,4,1.2,3.3,1,"",47,"No","Yes","2 GB","1x32 LPDDR2/3 1066",1,"4.2 GB/s","",NA,"456 MHz","","","MIPI DSI",NA,"","","1280x800","9.3",NA,"","",NA,"","","","","64-bit","","","","","",2015,75.75,75.75
"Intel® Atom™ Processor X Series","Mobile","x3-C3445","Announced","28 nm",303,4,4,1.2,3.3,1,"",47,"No","Yes","2 GB","1x32 LPDDR2/3 1066",1,"4.2 GB/s","",NA,"456 MHz","","","MIPI DSI",NA,"","","1280x800","9.3",NA,"","",NA,"","","","","64-bit","","","","","",2015,75.75,75.75
"Intel® Atom™ Processor X Series","Embedded","E8000","Launched","14 nm",39,4,4,1.04,3.3,2,"",5,"Yes","Yes","8 GB","DDR3L-1600",2,"","No",NA,"320 MHz","","","eDP/DP/HDMI",NA,"","","","Yes",NA,"2","1x4/2x2/1x2 + 2x1/4x1",4,"90°C","No","Yes","Yes","64-bit","","Yes","Yes","Yes","Yes",2016,9.75,9.75
"Intel® Atom™ Processor X Series","Mobile","x5-Z8300","Launched","14 nm",21,4,4,1.44,3.3,2,"",47,"No","Yes","2 GB","DDR3L-RS 1600",1,"12.8 GB/s","",NA,"200 MHz","","2 GB","",NA,"1920x1080","","","",NA,"2","1x1",1,"90°C","","Yes","Yes","64-bit","","","","","",2015,5.25,5.25
"Intel® Atom™ Processor X Series","Mobile","x5-Z8330","Launched","14 nm",303,4,4,1.44,3.3,2,"",47,"No","Yes","2 GB","DDR3L-RS 1600",1,"12.8 GB/s","",NA,"200 MHz","","","",NA,"","","","",NA,"2","1X1",1,"90°C ","","","Yes","64-bit","","","","","",2016,75.75,75.75
"Intel® Atom™ Processor X Series","Mobile","x5-Z8350","Launched","14 nm",21,4,4,1.44,3.3,2,"",47,"No","Yes","2 GB","DDR3L-RS 1600",1,"12.8 GB/s","",NA,"200 MHz","500 MHz","2 GB","",NA,"1920x1080","","","",NA,"2","1x1",1,"90°C","","Yes","Yes","64-bit","","","","","",2016,5.25,5.25
"Intel® Atom™ Processor X Series","Mobile","x5-Z8500","Launched","14 nm",27,4,4,1.44,3.3,2,"",47,"No","Yes","8 GB","LPDDR3 1600",2,"25.6 GB/s","",NA,"200 MHz","","8 GB","",NA,"3840x2160","","2560x1600","",NA,"2","2x1, 1x2",2,"90°C","","Yes","Yes","64-bit","","","","","",2015,6.75,6.75
"Intel® Atom™ Processor X Series","Mobile","x5-Z8550","Launched","14 nm",27,4,4,1.44,3.3,2,"",47,"No","Yes","8 GB","LPDDR3 1600",2,"25.6 GB/s","",NA,"200 MHz","600 MHz","8 GB","",NA,"3840x2160","","2560x1600","",NA,"2","2x1, 1x2",2,"90°C","","Yes","Yes","64-bit","","","","","",2016,6.75,6.75
"Intel® Atom™ Processor X Series","Embedded","E3930","Announced","14 nm",303,2,2,1.3,3.3,2,"",6.5,"Yes","Yes","8 GB","DDR3L (ECC and Non ECC) up to 1866 MT/s;,LPDDR4 up to 2133 MT/s",4,"34.1 GB/s","Yes",NA,"400 MHz","","2 GB","eDP/DP/HDMI/MIPI-DSI",NA," 3840x2160 @30Hz","4096x2160 @60Hz","3840x2160 @ 60Hz","Yes",NA,"2","x4,x2,x1",6,"103°C,110°C","No","Yes","Yes","64-bit","","Yes","Yes","Yes","Yes",2016,151.5,151.5
"Intel® Atom™ Processor X Series","Embedded","E3940","Announced","14 nm",303,4,4,1.6,3.3,2,"",9.5,"Yes","Yes","8 GB","DDR3L (ECC and Non ECC) up to 1866 MT/s; ,LPDDR4 up to 2133 MT/s",4,"34.1 GB/s","Yes",NA,"400 MHz","","2 GB","eDP/DP/HDMI/MIPI-DSI",NA," 3840x2160 @30Hz","4096x2160 @60Hz","3840x2160 @ 60Hz","Yes",NA,"2","x4,x2,x1",6,"100°C,110°C","No","Yes","Yes","64-bit","","Yes","Yes","Yes","Yes",2016,75.75,75.75
"Intel® Atom™ Processor X Series","Mobile","x7-Z8700","Launched","14 nm",37,4,4,1.6,3.3,2,"",47,"No","Yes","8 GB","LPDDR3 1600",2,"25.6 GB/s","",NA,"200 MHz","","8 GB","",NA,"3840x2160","","2560x1600","",NA,"2","2x1, 1x2",2,"90°C","","Yes","Yes","64-bit","","","","","",2015,9.25,9.25
"Intel® Atom™ Processor X Series","Embedded","E3950","Announced","14 nm",303,4,4,1.6,3.3,2,"",12,"Yes","Yes","8 GB","DDR3L (ECC and Non ECC) up to 1866MT/s; ,LPDDR4 up to 2400 MT/s",4,"38.4 GB/s","Yes",NA,"500 MHz","","2 GB","eDP/DP/HDMI/MIPI-DSI",NA,"3840x2160 @30Hz","4096x2160 @60Hz","3840x2160 @ 60Hz","Yes",NA,"2","x4,x2,x1",6,"98°C,110°C","No","Yes","Yes","64-bit","","Yes","Yes","Yes","Yes",2016,75.75,75.75
"Intel® Atom™ Processor Z Series","Mobile","Z2480","End of Interactive Support","32 nm",303,1,2,2.26,3.3,0.5,"",47,"No","","2 GB","LPDDR2 800",2,"6.4 GB/s","",NA,"400 MHz","","","HDMI",NA,"","","","",NA,"","",NA,"90","Yes","","","32-bit","SSE, SSE2, SSE3","Yes","Yes","","Yes",2012,303,151.5
"Intel® Atom™ Processor Z Series","Mobile","Z2520","End of Interactive Support","32 nm",303,2,4,1.2,3.3,1,"",47,"No","Yes","2 GB","LPDDR2 1066",2,"8.5 GB/s","",NA,"300 MHz","","","",NA,"","","","",NA,"","",NA,"90°C","Yes","Yes","","32-bit","SSE2, SSE3, SSSE3","Yes","Yes","","",2013,151.5,75.75
"Intel® Atom™ Processor Z Series","Mobile","Z2560","End of Interactive Support","32 nm",303,2,4,2.26,3.3,1,"",47,"No","Yes","2 GB","LPDDR2 1066",2,"8.5 GB/s","",NA,"400 MHz","","","",NA,"","","","",NA,"","",NA,"90°C","Yes","Yes","","32-bit","SSE2, SSE3, SSSE3","Yes","Yes","","",2013,151.5,75.75
"Intel® Atom™ Processor Z Series","Mobile","Z2580","End of Interactive Support","32 nm",22,2,4,2.26,3.3,1,"",47,"No","Yes","2 GB","LPDDR2 1066",2,"8.5 GB/s","",NA,"400 MHz","","","",NA,"","","","",NA,"","",NA,"90°C","Yes","Yes","","32-bit","SSE2, SSE3, SSSE3","Yes","Yes","","",2013,11,5.5
"Intel® Atom™ Processor Z Series","Mobile","Z2760","End of Interactive Support","32 nm",303,2,4,1.8,3.3,1,"",47,"No","Yes","2.4 GB","LPDDR2 800",2,"6.4 GB/s","No",NA,"533 MHz","","","",NA,"","","","",NA,"","",NA,"","Yes","No","","32-bit","","","","","",2012,151.5,75.75
