"Product_Collection","Vertical_Segment","Processor_Number","Status","Lithography","Recommended_Customer_Price","nb_of_Cores","nb_of_Threads","Processor_Base_Frequency","Max_Turbo_Frequency","Cache","Bus_Speed","TDP","Embedded_Options_Available","Conflict_Free","Max_Memory_Size","Memory_Types","Max_nb_of_Memory_Channels","Max_Memory_Bandwidth","ECC_Memory_Supported","Processor_Graphics_","Graphics_Base_Frequency","Graphics_Max_Dynamic_Frequency","Graphics_Video_Max_Memory","Graphics_Output","Support_4k","Max_Resolution_HDMI","Max_Resolution_DP","Max_Resolution_eDP_Integrated_Flat_Panel","DirectX_Support","OpenGL_Support","PCI_Express_Revision","PCI_Express_Configurations_","Max_nb_of_PCI_Express_Lanes","T","Intel_Hyper_Threading_Technology_","Intel_Virtualization_Technology_VTx_","Intel_64_","Instruction_Set","Instruction_Set_Extensions","Idle_States","Thermal_Monitoring_Technologies","Secure_Key","Execute_Disable_Bit","Launch_Year","price_per_core","price_per_thread"
"Legacy Intel® Pentium® Processor","Mobile","758","End of Interactive Support","90 nm",303,1,4,1.5,3.3,2,"400 MHz FSB",7.5,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","Yes",2013,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","571","End of Interactive Support","90 nm",303,1,4,3.8,3.3,1,"800 MHz FSB",115,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"72.8°C","Yes","No","Yes","64-bit","","Yes","Yes","","Yes",2005,303,75.75
"Legacy Intel® Pentium® Processor","Mobile","","End of Interactive Support","",303,1,4,0.8,3.3,0.5,"100 MHz FSB",5.9,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Pentium® Processor","Mobile","718","End of Interactive Support","130 nm",303,1,4,1.3,3.3,1,"400 MHz FSB",12,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","570","End of Interactive Support","90 nm",303,1,4,3.8,3.3,1,"800 MHz FSB",115,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"72.8°C","Yes","No","No","32-bit","","Yes","Yes","","Yes",2004,303,75.75
"Legacy Intel® Pentium® Processor","Mobile","","End of Interactive Support","",303,1,4,0.75,3.3,0.5,"100 MHz FSB",24.6,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Pentium® Processor","Mobile","780","End of Interactive Support","90 nm",303,1,4,2.26,3.3,2,"533 MHz FSB",27,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","Yes",2013,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","561","End of Interactive Support","90 nm",303,1,4,3.6,3.3,1,"800 MHz FSB",115,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"72.8°C","Yes","No","Yes","64-bit","","Yes","Yes","","Yes",2005,303,75.75
"Legacy Intel® Pentium® Processor","Mobile","","End of Interactive Support","",303,1,4,0.7,3.3,0.5,"100 MHz FSB",7,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Pentium® Processor","Server","","End of Interactive Support","130 nm",303,1,4,0.8,3.3,0.5,"133 MHz FSB",10.63,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","","No","","32-bit","","","","","",2001,303,75.75
"Legacy Intel® Pentium® Processor","Mobile","770","End of Interactive Support","90 nm",303,1,4,2.13,3.3,2,"533 MHz FSB",27,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","Yes",2013,303,75.75
